/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-22__10-33-33-126.jpg,1802,1583,1944,1719,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-22__10-33-33-126.jpg,1759,2348,1969,2544,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-22__10-33-33-126.jpg,1727,2830,1841,3012,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-26__13-04-01-806.jpg,5,376,130,573,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-26__13-12-31-474.jpg,962,394,1062,569,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-26__13-12-31-474.jpg,869,1523,966,1673,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1212,40,1352,337,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1259,1380,1323,1533,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1298,1537,1380,1683,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1327,2401,1423,2590,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1144,2526,1241,2644,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-28__12-58-54-306.jpg,1319,3137,1395,3296,panicle
/mnt/data/datasets/datasets/seed_datasets_current/LL1_tidy_terra_panicle_detection/LL1_tidy_terra_panicle_detection_dataset/media/2016-09-29__11-13-56-793.jpg,852,469,1048,655,panicle
